2025-11-08T14:01:35+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:38+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:41+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:44+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:47+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:50+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:01:53+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:01+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:06+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:09+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:12+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:14+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:17+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:20+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:23+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:25+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:28+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:31+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:36+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:39+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:42+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:44+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:47+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:50+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T14:02:56+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.031703 | computed_current=0.031703 | store_total=2.2227319999999997
2025-11-08T14:03:07+01:00 | device=esp32meter | prev_total='2.222732' | reported_total=NULL | reported_current=0.039508 | computed_current=0.039508 | store_total=2.2622400000000003
2025-11-08T14:03:12+01:00 | device=esp32meter | prev_total='2.262240' | reported_total=NULL | reported_current=0.038576 | computed_current=0.038576 | store_total=2.3008159999999998
2025-11-08T14:03:15+01:00 | device=esp32meter | prev_total='2.300816' | reported_total=NULL | reported_current=0.040821 | computed_current=0.040821 | store_total=2.3416370000000004
2025-11-08T14:03:18+01:00 | device=esp32meter | prev_total='2.341637' | reported_total=NULL | reported_current=0.039517 | computed_current=0.039517 | store_total=2.381154
2025-11-08T14:03:23+01:00 | device=esp32meter | prev_total='2.381154' | reported_total=NULL | reported_current=0.039082 | computed_current=0.039082 | store_total=2.420236
2025-11-08T14:03:26+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:03:29+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:03:48+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:03:54+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:03:56+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:09+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:12+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:15+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:18+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:21+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:29+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:40+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:04:41+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:05:02+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:05:05+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
2025-11-08T14:05:08+01:00 | device=esp32meter | prev_total='2.420236' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.420236
